date,Eurocoin,isPartial
2016-12-25,20,False
2017-01-01,41,False
2017-01-08,38,False
2017-01-15,24,False
2017-01-22,45,False
2017-01-29,52,False
2017-02-05,41,False
2017-02-12,27,False
2017-02-19,28,False
2017-02-26,31,False
2017-03-05,30,False
2017-03-12,27,False
2017-03-19,41,False
2017-03-26,24,False
2017-04-02,35,False
2017-04-09,28,False
2017-04-16,28,False
2017-04-23,48,False
2017-04-30,24,False
2017-05-07,10,False
2017-05-14,37,False
2017-05-21,34,False
2017-05-28,30,False
2017-06-04,29,False
2017-06-11,41,False
2017-06-18,29,False
2017-06-25,19,False
2017-07-02,34,False
2017-07-09,56,False
2017-07-16,22,False
2017-07-23,63,False
2017-07-30,47,False
2017-08-06,25,False
2017-08-13,48,False
2017-08-20,58,False
2017-08-27,50,False
2017-09-03,47,False
2017-09-10,28,False
2017-09-17,70,False
2017-09-24,53,False
2017-10-01,46,False
2017-10-08,35,False
2017-10-15,49,False
2017-10-22,55,False
2017-10-29,59,False
2017-11-05,71,False
2017-11-12,61,False
2017-11-19,68,False
2017-11-26,84,False
2017-12-03,75,False
2017-12-10,99,False
2017-12-17,100,True
