date,International.,isPartial
2016-12-25,62,False
2017-01-01,49,False
2017-01-08,64,False
2017-01-15,71,False
2017-01-22,65,False
2017-01-29,80,False
2017-02-05,100,False
2017-02-12,88,False
2017-02-19,73,False
2017-02-26,65,False
2017-03-05,75,False
2017-03-12,74,False
2017-03-19,73,False
2017-03-26,67,False
2017-04-02,68,False
2017-04-09,91,False
2017-04-16,56,False
2017-04-23,61,False
2017-04-30,64,False
2017-05-07,89,False
2017-05-14,82,False
2017-05-21,82,False
2017-05-28,68,False
2017-06-04,67,False
2017-06-11,51,False
2017-06-18,70,False
2017-06-25,69,False
2017-07-02,58,False
2017-07-09,64,False
2017-07-16,70,False
2017-07-23,75,False
2017-07-30,58,False
2017-08-06,66,False
2017-08-13,64,False
2017-08-20,67,False
2017-08-27,54,False
2017-09-03,62,False
2017-09-10,63,False
2017-09-17,60,False
2017-09-24,60,False
2017-10-01,66,False
2017-10-08,57,False
2017-10-15,68,False
2017-10-22,52,False
2017-10-29,47,False
2017-11-05,58,False
2017-11-12,58,False
2017-11-19,53,False
2017-11-26,58,False
2017-12-03,67,False
2017-12-10,82,False
2017-12-17,38,True
