date,Antimatter,isPartial
2016-12-25,42,False
2017-01-01,39,False
2017-01-08,36,False
2017-01-15,37,False
2017-01-22,34,False
2017-01-29,32,False
2017-02-05,36,False
2017-02-12,29,False
2017-02-19,35,False
2017-02-26,29,False
2017-03-05,30,False
2017-03-12,30,False
2017-03-19,30,False
2017-03-26,26,False
2017-04-02,41,False
2017-04-09,27,False
2017-04-16,38,False
2017-04-23,48,False
2017-04-30,32,False
2017-05-07,34,False
2017-05-14,30,False
2017-05-21,26,False
2017-05-28,29,False
2017-06-04,27,False
2017-06-11,30,False
2017-06-18,32,False
2017-06-25,26,False
2017-07-02,23,False
2017-07-09,30,False
2017-07-16,31,False
2017-07-23,37,False
2017-07-30,42,False
2017-08-06,32,False
2017-08-13,41,False
2017-08-20,32,False
2017-08-27,33,False
2017-09-03,51,False
2017-09-10,100,False
2017-09-17,97,False
2017-09-24,61,False
2017-10-01,51,False
2017-10-08,52,False
2017-10-15,58,False
2017-10-22,65,False
2017-10-29,47,False
2017-11-05,56,False
2017-11-12,50,False
2017-11-19,45,False
2017-11-26,40,False
2017-12-03,40,False
2017-12-10,43,False
2017-12-17,37,True
