date,BitSend,isPartial
2016-12-25,9,False
2017-01-01,0,False
2017-01-08,24,False
2017-01-15,39,False
2017-01-22,8,False
2017-01-29,30,False
2017-02-05,8,False
2017-02-12,8,False
2017-02-19,31,False
2017-02-26,8,False
2017-03-05,22,False
2017-03-12,15,False
2017-03-19,100,False
2017-03-26,23,False
2017-04-02,69,False
2017-04-09,56,False
2017-04-16,38,False
2017-04-23,46,False
2017-04-30,39,False
2017-05-07,31,False
2017-05-14,49,False
2017-05-21,50,False
2017-05-28,33,False
2017-06-04,40,False
2017-06-11,25,False
2017-06-18,32,False
2017-06-25,34,False
2017-07-02,42,False
2017-07-09,25,False
2017-07-16,76,False
2017-07-23,57,False
2017-07-30,64,False
2017-08-06,16,False
2017-08-13,0,False
2017-08-20,24,False
2017-08-27,80,False
2017-09-03,78,False
2017-09-10,31,False
2017-09-17,31,False
2017-09-24,23,False
2017-10-01,70,False
2017-10-08,31,False
2017-10-15,15,False
2017-10-22,54,False
2017-10-29,69,False
2017-11-05,30,False
2017-11-12,82,False
2017-11-19,22,False
2017-11-26,82,False
2017-12-03,90,False
2017-12-10,23,False
2017-12-17,53,True
