date,Slevin,isPartial
2016-12-25,99,False
2017-01-01,92,False
2017-01-08,100,False
2017-01-15,61,False
2017-01-22,52,False
2017-01-29,55,False
2017-02-05,46,False
2017-02-12,47,False
2017-02-19,46,False
2017-02-26,46,False
2017-03-05,41,False
2017-03-12,48,False
2017-03-19,45,False
2017-03-26,42,False
2017-04-02,40,False
2017-04-09,52,False
2017-04-16,56,False
2017-04-23,54,False
2017-04-30,50,False
2017-05-07,51,False
2017-05-14,39,False
2017-05-21,49,False
2017-05-28,53,False
2017-06-04,48,False
2017-06-11,46,False
2017-06-18,39,False
2017-06-25,53,False
2017-07-02,42,False
2017-07-09,42,False
2017-07-16,46,False
2017-07-23,41,False
2017-07-30,54,False
2017-08-06,40,False
2017-08-13,52,False
2017-08-20,47,False
2017-08-27,50,False
2017-09-03,50,False
2017-09-10,46,False
2017-09-17,43,False
2017-09-24,39,False
2017-10-01,52,False
2017-10-08,45,False
2017-10-15,38,False
2017-10-22,41,False
2017-10-29,41,False
2017-11-05,43,False
2017-11-12,44,False
2017-11-19,38,False
2017-11-26,40,False
2017-12-03,54,False
2017-12-10,38,False
2017-12-17,36,True
