date,Sphere,isPartial
2016-12-25,62,False
2017-01-01,75,False
2017-01-08,85,False
2017-01-15,88,False
2017-01-22,91,False
2017-01-29,93,False
2017-02-05,93,False
2017-02-12,94,False
2017-02-19,97,False
2017-02-26,99,False
2017-03-05,100,False
2017-03-12,93,False
2017-03-19,95,False
2017-03-26,92,False
2017-04-02,96,False
2017-04-09,87,False
2017-04-16,91,False
2017-04-23,97,False
2017-04-30,100,False
2017-05-07,99,False
2017-05-14,93,False
2017-05-21,88,False
2017-05-28,75,False
2017-06-04,76,False
2017-06-11,74,False
2017-06-18,63,False
2017-06-25,62,False
2017-07-02,57,False
2017-07-09,60,False
2017-07-16,59,False
2017-07-23,55,False
2017-07-30,58,False
2017-08-06,59,False
2017-08-13,61,False
2017-08-20,71,False
2017-08-27,74,False
2017-09-03,79,False
2017-09-10,82,False
2017-09-17,81,False
2017-09-24,81,False
2017-10-01,83,False
2017-10-08,84,False
2017-10-15,85,False
2017-10-22,86,False
2017-10-29,84,False
2017-11-05,87,False
2017-11-12,91,False
2017-11-19,76,False
2017-11-26,91,False
2017-12-03,98,False
2017-12-10,92,False
2017-12-17,75,True
