date,Bitz,isPartial
2016-12-25,86,False
2017-01-01,82,False
2017-01-08,70,False
2017-01-15,70,False
2017-01-22,63,False
2017-01-29,70,False
2017-02-05,75,False
2017-02-12,62,False
2017-02-19,65,False
2017-02-26,69,False
2017-03-05,64,False
2017-03-12,67,False
2017-03-19,73,False
2017-03-26,58,False
2017-04-02,59,False
2017-04-09,69,False
2017-04-16,67,False
2017-04-23,67,False
2017-04-30,70,False
2017-05-07,63,False
2017-05-14,58,False
2017-05-21,59,False
2017-05-28,70,False
2017-06-04,55,False
2017-06-11,69,False
2017-06-18,62,False
2017-06-25,71,False
2017-07-02,75,False
2017-07-09,66,False
2017-07-16,71,False
2017-07-23,77,False
2017-07-30,70,False
2017-08-06,68,False
2017-08-13,58,False
2017-08-20,70,False
2017-08-27,57,False
2017-09-03,63,False
2017-09-10,71,False
2017-09-17,69,False
2017-09-24,72,False
2017-10-01,73,False
2017-10-08,69,False
2017-10-15,66,False
2017-10-22,66,False
2017-10-29,68,False
2017-11-05,80,False
2017-11-12,63,False
2017-11-19,85,False
2017-11-26,81,False
2017-12-03,86,False
2017-12-10,100,False
2017-12-17,95,True
