date,KashhCoin,isPartial
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,17,False
2017-01-15,53,False
2017-01-22,36,False
2017-01-29,55,False
2017-02-05,87,False
2017-02-12,100,False
2017-02-19,88,False
2017-02-26,62,False
2017-03-05,58,False
2017-03-12,42,False
2017-03-19,57,False
2017-03-26,52,False
2017-04-02,33,False
2017-04-09,53,False
2017-04-16,36,False
2017-04-23,22,False
2017-04-30,14,False
2017-05-07,38,False
2017-05-14,35,False
2017-05-21,44,False
2017-05-28,38,False
2017-06-04,35,False
2017-06-11,32,False
2017-06-18,40,False
2017-06-25,24,False
2017-07-02,18,False
2017-07-09,21,False
2017-07-16,29,False
2017-07-23,23,False
2017-07-30,23,False
2017-08-06,6,False
2017-08-13,11,False
2017-08-20,9,False
2017-08-27,9,False
2017-09-03,3,False
2017-09-10,3,False
2017-09-17,3,False
2017-09-24,6,False
2017-10-01,8,False
2017-10-08,5,False
2017-10-15,11,False
2017-10-22,0,False
2017-10-29,0,False
2017-11-05,0,False
2017-11-12,0,False
2017-11-19,8,False
2017-11-26,8,False
2017-12-03,13,False
2017-12-10,19,False
2017-12-17,13,True
