date,Aces,isPartial
2016-12-25,55,False
2017-01-01,69,False
2017-01-08,64,False
2017-01-15,65,False
2017-01-22,62,False
2017-01-29,63,False
2017-02-05,59,False
2017-02-12,55,False
2017-02-19,53,False
2017-02-26,56,False
2017-03-05,59,False
2017-03-12,50,False
2017-03-19,54,False
2017-03-26,66,False
2017-04-02,70,False
2017-04-09,80,False
2017-04-16,71,False
2017-04-23,100,False
2017-04-30,58,False
2017-05-07,69,False
2017-05-14,49,False
2017-05-21,52,False
2017-05-28,53,False
2017-06-04,66,False
2017-06-11,62,False
2017-06-18,54,False
2017-06-25,59,False
2017-07-02,64,False
2017-07-09,63,False
2017-07-16,55,False
2017-07-23,52,False
2017-07-30,56,False
2017-08-06,61,False
2017-08-13,63,False
2017-08-20,50,False
2017-08-27,59,False
2017-09-03,56,False
2017-09-10,50,False
2017-09-17,49,False
2017-09-24,48,False
2017-10-01,48,False
2017-10-08,48,False
2017-10-15,47,False
2017-10-22,50,False
2017-10-29,50,False
2017-11-05,53,False
2017-11-12,57,False
2017-11-19,48,False
2017-11-26,53,False
2017-12-03,58,False
2017-12-10,56,False
2017-12-17,62,True
