date,Peerplays,isPartial
2016-12-25,7,False
2017-01-01,6,False
2017-01-08,20,False
2017-01-15,14,False
2017-01-22,0,False
2017-01-29,8,False
2017-02-05,0,False
2017-02-12,0,False
2017-02-19,34,False
2017-02-26,14,False
2017-03-05,13,False
2017-03-12,11,False
2017-03-19,11,False
2017-03-26,6,False
2017-04-02,17,False
2017-04-09,18,False
2017-04-16,33,False
2017-04-23,29,False
2017-04-30,39,False
2017-05-07,53,False
2017-05-14,27,False
2017-05-21,18,False
2017-05-28,42,False
2017-06-04,100,False
2017-06-11,63,False
2017-06-18,64,False
2017-06-25,49,False
2017-07-02,31,False
2017-07-09,33,False
2017-07-16,33,False
2017-07-23,24,False
2017-07-30,18,False
2017-08-06,29,False
2017-08-13,15,False
2017-08-20,17,False
2017-08-27,12,False
2017-09-03,24,False
2017-09-10,23,False
2017-09-17,8,False
2017-09-24,11,False
2017-10-01,28,False
2017-10-08,11,False
2017-10-15,17,False
2017-10-22,11,False
2017-10-29,11,False
2017-11-05,41,False
2017-11-12,44,False
2017-11-19,11,False
2017-11-26,11,False
2017-12-03,25,False
2017-12-10,28,False
2017-12-17,22,True
