date,SixEleven,isPartial
2016-12-25,0,False
2017-01-01,49,False
2017-01-08,46,False
2017-01-15,0,False
2017-01-22,46,False
2017-01-29,46,False
2017-02-05,0,False
2017-02-12,0,False
2017-02-19,0,False
2017-02-26,46,False
2017-03-05,0,False
2017-03-12,45,False
2017-03-19,46,False
2017-03-26,0,False
2017-04-02,46,False
2017-04-09,0,False
2017-04-16,94,False
2017-04-23,91,False
2017-04-30,0,False
2017-05-07,0,False
2017-05-14,49,False
2017-05-21,50,False
2017-05-28,0,False
2017-06-04,49,False
2017-06-11,0,False
2017-06-18,48,False
2017-06-25,100,False
2017-07-02,50,False
2017-07-09,0,False
2017-07-16,0,False
2017-07-23,0,False
2017-07-30,0,False
2017-08-06,48,False
2017-08-13,48,False
2017-08-20,0,False
2017-08-27,0,False
2017-09-03,48,False
2017-09-10,47,False
2017-09-17,46,False
2017-09-24,0,False
2017-10-01,0,False
2017-10-08,0,False
2017-10-15,47,False
2017-10-22,0,False
2017-10-29,46,False
2017-11-05,45,False
2017-11-12,45,False
2017-11-19,45,False
2017-11-26,0,False
2017-12-03,45,False
2017-12-10,91,False
2017-12-17,54,True
