date,Ark,isPartial
2016-12-25,97,False
2017-01-01,100,False
2017-01-08,91,False
2017-01-15,95,False
2017-01-22,88,False
2017-01-29,96,False
2017-02-05,98,False
2017-02-12,98,False
2017-02-19,91,False
2017-02-26,91,False
2017-03-05,79,False
2017-03-12,78,False
2017-03-19,73,False
2017-03-26,73,False
2017-04-02,79,False
2017-04-09,78,False
2017-04-16,70,False
2017-04-23,72,False
2017-04-30,69,False
2017-05-07,65,False
2017-05-14,61,False
2017-05-21,60,False
2017-05-28,66,False
2017-06-04,66,False
2017-06-11,75,False
2017-06-18,72,False
2017-06-25,71,False
2017-07-02,72,False
2017-07-09,68,False
2017-07-16,70,False
2017-07-23,65,False
2017-07-30,63,False
2017-08-06,65,False
2017-08-13,61,False
2017-08-20,60,False
2017-08-27,90,False
2017-09-03,86,False
2017-09-10,72,False
2017-09-17,67,False
2017-09-24,67,False
2017-10-01,64,False
2017-10-08,61,False
2017-10-15,60,False
2017-10-22,63,False
2017-10-29,66,False
2017-11-05,64,False
2017-11-12,62,False
2017-11-19,65,False
2017-11-26,65,False
2017-12-03,64,False
2017-12-10,79,False
2017-12-17,87,True
