date,Neutron,isPartial
2016-12-25,31,False
2017-01-01,38,False
2017-01-08,41,False
2017-01-15,45,False
2017-01-22,43,False
2017-01-29,45,False
2017-02-05,45,False
2017-02-12,47,False
2017-02-19,43,False
2017-02-26,44,False
2017-03-05,45,False
2017-03-12,44,False
2017-03-19,45,False
2017-03-26,46,False
2017-04-02,44,False
2017-04-09,44,False
2017-04-16,44,False
2017-04-23,45,False
2017-04-30,47,False
2017-05-07,47,False
2017-05-14,44,False
2017-05-21,41,False
2017-05-28,39,False
2017-06-04,35,False
2017-06-11,37,False
2017-06-18,34,False
2017-06-25,34,False
2017-07-02,34,False
2017-07-09,35,False
2017-07-16,36,False
2017-07-23,32,False
2017-07-30,35,False
2017-08-06,36,False
2017-08-13,38,False
2017-08-20,39,False
2017-08-27,37,False
2017-09-03,47,False
2017-09-10,47,False
2017-09-17,50,False
2017-09-24,53,False
2017-10-01,56,False
2017-10-08,49,False
2017-10-15,100,False
2017-10-22,63,False
2017-10-29,50,False
2017-11-05,50,False
2017-11-12,51,False
2017-11-19,42,False
2017-11-26,44,False
2017-12-03,47,False
2017-12-10,45,False
2017-12-17,42,True
