date,MMXVI,isPartial
2016-12-25,69,False
2017-01-01,100,False
2017-01-08,86,False
2017-01-15,95,False
2017-01-22,85,False
2017-01-29,62,False
2017-02-05,74,False
2017-02-12,88,False
2017-02-19,66,False
2017-02-26,49,False
2017-03-05,51,False
2017-03-12,54,False
2017-03-19,66,False
2017-03-26,59,False
2017-04-02,58,False
2017-04-09,65,False
2017-04-16,53,False
2017-04-23,63,False
2017-04-30,56,False
2017-05-07,64,False
2017-05-14,33,False
2017-05-21,68,False
2017-05-28,52,False
2017-06-04,52,False
2017-06-11,68,False
2017-06-18,57,False
2017-06-25,63,False
2017-07-02,69,False
2017-07-09,57,False
2017-07-16,46,False
2017-07-23,56,False
2017-07-30,33,False
2017-08-06,70,False
2017-08-13,33,False
2017-08-20,80,False
2017-08-27,93,False
2017-09-03,88,False
2017-09-10,53,False
2017-09-17,56,False
2017-09-24,62,False
2017-10-01,48,False
2017-10-08,64,False
2017-10-15,50,False
2017-10-22,65,False
2017-10-29,50,False
2017-11-05,44,False
2017-11-12,46,False
2017-11-19,54,False
2017-11-26,49,False
2017-12-03,58,False
2017-12-10,65,False
2017-12-17,84,True
