date,VIVO,isPartial
2016-12-25,60,False
2017-01-01,57,False
2017-01-08,61,False
2017-01-15,68,False
2017-01-22,74,False
2017-01-29,76,False
2017-02-05,72,False
2017-02-12,83,False
2017-02-19,80,False
2017-02-26,75,False
2017-03-05,83,False
2017-03-12,80,False
2017-03-19,81,False
2017-03-26,83,False
2017-04-02,88,False
2017-04-09,84,False
2017-04-16,93,False
2017-04-23,85,False
2017-04-30,80,False
2017-05-07,89,False
2017-05-14,80,False
2017-05-21,81,False
2017-05-28,79,False
2017-06-04,88,False
2017-06-11,80,False
2017-06-18,89,False
2017-06-25,85,False
2017-07-02,80,False
2017-07-09,79,False
2017-07-16,81,False
2017-07-23,78,False
2017-07-30,81,False
2017-08-06,75,False
2017-08-13,81,False
2017-08-20,87,False
2017-08-27,99,False
2017-09-03,99,False
2017-09-10,90,False
2017-09-17,100,False
2017-09-24,89,False
2017-10-01,88,False
2017-10-08,92,False
2017-10-15,87,False
2017-10-22,86,False
2017-10-29,81,False
2017-11-05,85,False
2017-11-12,79,False
2017-11-19,74,False
2017-11-26,80,False
2017-12-03,73,False
2017-12-10,74,False
2017-12-17,69,True
