date,Golos,isPartial
2016-12-25,67,False
2017-01-01,61,False
2017-01-08,56,False
2017-01-15,58,False
2017-01-22,60,False
2017-01-29,46,False
2017-02-05,62,False
2017-02-12,77,False
2017-02-19,72,False
2017-02-26,72,False
2017-03-05,96,False
2017-03-12,76,False
2017-03-19,61,False
2017-03-26,53,False
2017-04-02,66,False
2017-04-09,95,False
2017-04-16,100,False
2017-04-23,92,False
2017-04-30,86,False
2017-05-07,57,False
2017-05-14,59,False
2017-05-21,50,False
2017-05-28,41,False
2017-06-04,49,False
2017-06-11,34,False
2017-06-18,46,False
2017-06-25,36,False
2017-07-02,33,False
2017-07-09,30,False
2017-07-16,31,False
2017-07-23,38,False
2017-07-30,44,False
2017-08-06,45,False
2017-08-13,49,False
2017-08-20,52,False
2017-08-27,66,False
2017-09-03,57,False
2017-09-10,55,False
2017-09-17,63,False
2017-09-24,70,False
2017-10-01,49,False
2017-10-08,61,False
2017-10-15,59,False
2017-10-22,61,False
2017-10-29,60,False
2017-11-05,67,False
2017-11-12,50,False
2017-11-19,55,False
2017-11-26,52,False
2017-12-03,55,False
2017-12-10,75,False
2017-12-17,56,True
