date,Omicron,isPartial
2016-12-25,50,False
2017-01-01,64,False
2017-01-08,72,False
2017-01-15,88,False
2017-01-22,91,False
2017-01-29,88,False
2017-02-05,81,False
2017-02-12,80,False
2017-02-19,93,False
2017-02-26,86,False
2017-03-05,90,False
2017-03-12,84,False
2017-03-19,82,False
2017-03-26,88,False
2017-04-02,90,False
2017-04-09,80,False
2017-04-16,78,False
2017-04-23,82,False
2017-04-30,85,False
2017-05-07,78,False
2017-05-14,68,False
2017-05-21,66,False
2017-05-28,72,False
2017-06-04,78,False
2017-06-11,85,False
2017-06-18,80,False
2017-06-25,83,False
2017-07-02,80,False
2017-07-09,85,False
2017-07-16,74,False
2017-07-23,80,False
2017-07-30,79,False
2017-08-06,79,False
2017-08-13,89,False
2017-08-20,91,False
2017-08-27,83,False
2017-09-03,100,False
2017-09-10,99,False
2017-09-17,98,False
2017-09-24,97,False
2017-10-01,92,False
2017-10-08,90,False
2017-10-15,80,False
2017-10-22,84,False
2017-10-29,75,False
2017-11-05,92,False
2017-11-12,90,False
2017-11-19,75,False
2017-11-26,84,False
2017-12-03,70,False
2017-12-10,75,False
2017-12-17,82,True
