date,Photon,isPartial
2016-12-25,63,False
2017-01-01,72,False
2017-01-08,77,False
2017-01-15,80,False
2017-01-22,82,False
2017-01-29,82,False
2017-02-05,86,False
2017-02-12,85,False
2017-02-19,87,False
2017-02-26,90,False
2017-03-05,89,False
2017-03-12,85,False
2017-03-19,87,False
2017-03-26,84,False
2017-04-02,87,False
2017-04-09,86,False
2017-04-16,80,False
2017-04-23,85,False
2017-04-30,87,False
2017-05-07,81,False
2017-05-14,72,False
2017-05-21,76,False
2017-05-28,76,False
2017-06-04,68,False
2017-06-11,70,False
2017-06-18,70,False
2017-06-25,66,False
2017-07-02,64,False
2017-07-09,98,False
2017-07-16,72,False
2017-07-23,69,False
2017-07-30,68,False
2017-08-06,66,False
2017-08-13,64,False
2017-08-20,63,False
2017-08-27,69,False
2017-09-03,70,False
2017-09-10,72,False
2017-09-17,84,False
2017-09-24,88,False
2017-10-01,88,False
2017-10-08,89,False
2017-10-15,87,False
2017-10-22,99,False
2017-10-29,100,False
2017-11-05,92,False
2017-11-12,97,False
2017-11-19,82,False
2017-11-26,86,False
2017-12-03,93,False
2017-12-10,83,False
2017-12-17,75,True
