date,NEO,isPartial
2016-12-25,81,False
2017-01-01,82,False
2017-01-08,78,False
2017-01-15,76,False
2017-01-22,79,False
2017-01-29,77,False
2017-02-05,78,False
2017-02-12,76,False
2017-02-19,75,False
2017-02-26,76,False
2017-03-05,75,False
2017-03-12,72,False
2017-03-19,72,False
2017-03-26,70,False
2017-04-02,73,False
2017-04-09,70,False
2017-04-16,67,False
2017-04-23,67,False
2017-04-30,68,False
2017-05-07,66,False
2017-05-14,63,False
2017-05-21,64,False
2017-05-28,65,False
2017-06-04,64,False
2017-06-11,64,False
2017-06-18,65,False
2017-06-25,68,False
2017-07-02,64,False
2017-07-09,64,False
2017-07-16,65,False
2017-07-23,67,False
2017-07-30,63,False
2017-08-06,78,False
2017-08-13,100,False
2017-08-20,79,False
2017-08-27,74,False
2017-09-03,74,False
2017-09-10,72,False
2017-09-17,72,False
2017-09-24,79,False
2017-10-01,75,False
2017-10-08,73,False
2017-10-15,70,False
2017-10-22,69,False
2017-10-29,70,False
2017-11-05,71,False
2017-11-12,73,False
2017-11-19,78,False
2017-11-26,71,False
2017-12-03,74,False
2017-12-10,76,False
2017-12-17,79,True
