date,Franko,isPartial
2016-12-25,85,False
2017-01-01,81,False
2017-01-08,84,False
2017-01-15,80,False
2017-01-22,92,False
2017-01-29,98,False
2017-02-05,84,False
2017-02-12,81,False
2017-02-19,79,False
2017-02-26,80,False
2017-03-05,75,False
2017-03-12,84,False
2017-03-19,81,False
2017-03-26,86,False
2017-04-02,87,False
2017-04-09,74,False
2017-04-16,80,False
2017-04-23,80,False
2017-04-30,100,False
2017-05-07,75,False
2017-05-14,73,False
2017-05-21,76,False
2017-05-28,79,False
2017-06-04,72,False
2017-06-11,83,False
2017-06-18,80,False
2017-06-25,75,False
2017-07-02,65,False
2017-07-09,73,False
2017-07-16,75,False
2017-07-23,73,False
2017-07-30,78,False
2017-08-06,80,False
2017-08-13,79,False
2017-08-20,73,False
2017-08-27,66,False
2017-09-03,63,False
2017-09-10,72,False
2017-09-17,70,False
2017-09-24,72,False
2017-10-01,72,False
2017-10-08,67,False
2017-10-15,66,False
2017-10-22,67,False
2017-10-29,68,False
2017-11-05,62,False
2017-11-12,78,False
2017-11-19,70,False
2017-11-26,67,False
2017-12-03,71,False
2017-12-10,77,False
2017-12-17,63,True
