date,SuperCoin,isPartial
2016-12-25,34,False
2017-01-01,61,False
2017-01-08,22,False
2017-01-15,93,False
2017-01-22,29,False
2017-01-29,22,False
2017-02-05,43,False
2017-02-12,15,False
2017-02-19,22,False
2017-02-26,0,False
2017-03-05,44,False
2017-03-12,29,False
2017-03-19,0,False
2017-03-26,15,False
2017-04-02,0,False
2017-04-09,15,False
2017-04-16,15,False
2017-04-23,28,False
2017-04-30,30,False
2017-05-07,36,False
2017-05-14,23,False
2017-05-21,16,False
2017-05-28,0,False
2017-06-04,32,False
2017-06-11,69,False
2017-06-18,53,False
2017-06-25,63,False
2017-07-02,24,False
2017-07-09,0,False
2017-07-16,64,False
2017-07-23,76,False
2017-07-30,59,False
2017-08-06,29,False
2017-08-13,59,False
2017-08-20,16,False
2017-08-27,47,False
2017-09-03,52,False
2017-09-10,15,False
2017-09-17,37,False
2017-09-24,37,False
2017-10-01,30,False
2017-10-08,15,False
2017-10-15,44,False
2017-10-22,22,False
2017-10-29,44,False
2017-11-05,42,False
2017-11-12,100,False
2017-11-19,56,False
2017-11-26,34,False
2017-12-03,36,False
2017-12-10,71,False
2017-12-17,53,True
