date,Tradecoin,isPartial
2016-12-25,22,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,19,False
2017-01-22,0,False
2017-01-29,19,False
2017-02-05,10,False
2017-02-12,9,False
2017-02-19,38,False
2017-02-26,37,False
2017-03-05,9,False
2017-03-12,37,False
2017-03-19,10,False
2017-03-26,39,False
2017-04-02,48,False
2017-04-09,20,False
2017-04-16,0,False
2017-04-23,28,False
2017-04-30,29,False
2017-05-07,39,False
2017-05-14,60,False
2017-05-21,72,False
2017-05-28,21,False
2017-06-04,40,False
2017-06-11,31,False
2017-06-18,39,False
2017-06-25,63,False
2017-07-02,52,False
2017-07-09,41,False
2017-07-16,52,False
2017-07-23,61,False
2017-07-30,100,False
2017-08-06,29,False
2017-08-13,40,False
2017-08-20,60,False
2017-08-27,59,False
2017-09-03,70,False
2017-09-10,19,False
2017-09-17,48,False
2017-09-24,39,False
2017-10-01,78,False
2017-10-08,58,False
2017-10-15,39,False
2017-10-22,66,False
2017-10-29,38,False
2017-11-05,37,False
2017-11-12,19,False
2017-11-19,65,False
2017-11-26,47,False
2017-12-03,66,False
2017-12-10,38,False
2017-12-17,66,True
