date,USDe,isPartial
2016-12-25,28,False
2017-01-01,83,False
2017-01-08,61,False
2017-01-15,57,False
2017-01-22,69,False
2017-01-29,64,False
2017-02-05,65,False
2017-02-12,45,False
2017-02-19,60,False
2017-02-26,24,False
2017-03-05,68,False
2017-03-12,42,False
2017-03-19,54,False
2017-03-26,74,False
2017-04-02,52,False
2017-04-09,70,False
2017-04-16,76,False
2017-04-23,76,False
2017-04-30,47,False
2017-05-07,55,False
2017-05-14,49,False
2017-05-21,53,False
2017-05-28,36,False
2017-06-04,74,False
2017-06-11,53,False
2017-06-18,50,False
2017-06-25,51,False
2017-07-02,57,False
2017-07-09,100,False
2017-07-16,38,False
2017-07-23,49,False
2017-07-30,40,False
2017-08-06,45,False
2017-08-13,55,False
2017-08-20,63,False
2017-08-27,73,False
2017-09-03,57,False
2017-09-10,52,False
2017-09-17,52,False
2017-09-24,64,False
2017-10-01,30,False
2017-10-08,64,False
2017-10-15,44,False
2017-10-22,40,False
2017-10-29,68,False
2017-11-05,61,False
2017-11-12,58,False
2017-11-19,48,False
2017-11-26,56,False
2017-12-03,46,False
2017-12-10,97,False
2017-12-17,76,True
