date,Cubits,isPartial
2016-12-25,73,False
2017-01-01,81,False
2017-01-08,72,False
2017-01-15,50,False
2017-01-22,67,False
2017-01-29,78,False
2017-02-05,73,False
2017-02-12,71,False
2017-02-19,99,False
2017-02-26,62,False
2017-03-05,74,False
2017-03-12,70,False
2017-03-19,70,False
2017-03-26,74,False
2017-04-02,85,False
2017-04-09,76,False
2017-04-16,63,False
2017-04-23,60,False
2017-04-30,70,False
2017-05-07,73,False
2017-05-14,77,False
2017-05-21,63,False
2017-05-28,66,False
2017-06-04,83,False
2017-06-11,70,False
2017-06-18,70,False
2017-06-25,79,False
2017-07-02,66,False
2017-07-09,66,False
2017-07-16,94,False
2017-07-23,76,False
2017-07-30,78,False
2017-08-06,75,False
2017-08-13,81,False
2017-08-20,84,False
2017-08-27,88,False
2017-09-03,66,False
2017-09-10,96,False
2017-09-17,64,False
2017-09-24,85,False
2017-10-01,63,False
2017-10-08,68,False
2017-10-15,70,False
2017-10-22,72,False
2017-10-29,100,False
2017-11-05,73,False
2017-11-12,73,False
2017-11-19,71,False
2017-11-26,80,False
2017-12-03,79,False
2017-12-10,97,False
2017-12-17,86,True
