date,Comet,isPartial
2016-12-25,45,False
2017-01-01,41,False
2017-01-08,32,False
2017-01-15,31,False
2017-01-22,30,False
2017-01-29,33,False
2017-02-05,100,False
2017-02-12,38,False
2017-02-19,34,False
2017-02-26,32,False
2017-03-05,30,False
2017-03-12,31,False
2017-03-19,29,False
2017-03-26,29,False
2017-04-02,33,False
2017-04-09,31,False
2017-04-16,29,False
2017-04-23,31,False
2017-04-30,32,False
2017-05-07,31,False
2017-05-14,31,False
2017-05-21,29,False
2017-05-28,28,False
2017-06-04,31,False
2017-06-11,34,False
2017-06-18,31,False
2017-06-25,31,False
2017-07-02,24,False
2017-07-09,28,False
2017-07-16,28,False
2017-07-23,32,False
2017-07-30,31,False
2017-08-06,36,False
2017-08-13,31,False
2017-08-20,37,False
2017-08-27,30,False
2017-09-03,30,False
2017-09-10,27,False
2017-09-17,29,False
2017-09-24,30,False
2017-10-01,27,False
2017-10-08,31,False
2017-10-15,36,False
2017-10-22,29,False
2017-10-29,28,False
2017-11-05,30,False
2017-11-12,28,False
2017-11-19,34,False
2017-11-26,29,False
2017-12-03,33,False
2017-12-10,30,False
2017-12-17,30,True
