date,Zero,isPartial
2016-12-25,51,False
2017-01-01,54,False
2017-01-08,53,False
2017-01-15,53,False
2017-01-22,53,False
2017-01-29,53,False
2017-02-05,54,False
2017-02-12,56,False
2017-02-19,68,False
2017-02-26,100,False
2017-03-05,92,False
2017-03-12,78,False
2017-03-19,70,False
2017-03-26,69,False
2017-04-02,63,False
2017-04-09,64,False
2017-04-16,59,False
2017-04-23,62,False
2017-04-30,62,False
2017-05-07,60,False
2017-05-14,56,False
2017-05-21,55,False
2017-05-28,55,False
2017-06-04,56,False
2017-06-11,58,False
2017-06-18,56,False
2017-06-25,56,False
2017-07-02,55,False
2017-07-09,56,False
2017-07-16,55,False
2017-07-23,58,False
2017-07-30,53,False
2017-08-06,55,False
2017-08-13,54,False
2017-08-20,52,False
2017-08-27,51,False
2017-09-03,51,False
2017-09-10,54,False
2017-09-17,52,False
2017-09-24,52,False
2017-10-01,53,False
2017-10-08,52,False
2017-10-15,52,False
2017-10-22,52,False
2017-10-29,53,False
2017-11-05,54,False
2017-11-12,54,False
2017-11-19,53,False
2017-11-26,53,False
2017-12-03,54,False
2017-12-10,53,False
2017-12-17,52,True
