date,XCurrency,isPartial
2016-12-25,47,False
2017-01-01,74,False
2017-01-08,93,False
2017-01-15,61,False
2017-01-22,42,False
2017-01-29,78,False
2017-02-05,72,False
2017-02-12,50,False
2017-02-19,54,False
2017-02-26,41,False
2017-03-05,39,False
2017-03-12,36,False
2017-03-19,32,False
2017-03-26,73,False
2017-04-02,100,False
2017-04-09,65,False
2017-04-16,29,False
2017-04-23,67,False
2017-04-30,37,False
2017-05-07,69,False
2017-05-14,39,False
2017-05-21,45,False
2017-05-28,39,False
2017-06-04,29,False
2017-06-11,59,False
2017-06-18,47,False
2017-06-25,51,False
2017-07-02,66,False
2017-07-09,34,False
2017-07-16,59,False
2017-07-23,69,False
2017-07-30,29,False
2017-08-06,43,False
2017-08-13,71,False
2017-08-20,100,False
2017-08-27,62,False
2017-09-03,76,False
2017-09-10,42,False
2017-09-17,42,False
2017-09-24,97,False
2017-10-01,42,False
2017-10-08,75,False
2017-10-15,23,False
2017-10-22,95,False
2017-10-29,58,False
2017-11-05,89,False
2017-11-12,81,False
2017-11-19,49,False
2017-11-26,52,False
2017-12-03,58,False
2017-12-10,31,False
2017-12-17,83,True
