date,Enigma,isPartial
2016-12-25,90,False
2017-01-01,94,False
2017-01-08,86,False
2017-01-15,91,False
2017-01-22,89,False
2017-01-29,85,False
2017-02-05,86,False
2017-02-12,95,False
2017-02-19,96,False
2017-02-26,90,False
2017-03-05,87,False
2017-03-12,88,False
2017-03-19,89,False
2017-03-26,84,False
2017-04-02,87,False
2017-04-09,90,False
2017-04-16,82,False
2017-04-23,90,False
2017-04-30,88,False
2017-05-07,86,False
2017-05-14,81,False
2017-05-21,82,False
2017-05-28,83,False
2017-06-04,82,False
2017-06-11,80,False
2017-06-18,79,False
2017-06-25,80,False
2017-07-02,100,False
2017-07-09,86,False
2017-07-16,79,False
2017-07-23,79,False
2017-07-30,79,False
2017-08-06,81,False
2017-08-13,81,False
2017-08-20,86,False
2017-08-27,83,False
2017-09-03,86,False
2017-09-10,87,False
2017-09-17,83,False
2017-09-24,81,False
2017-10-01,87,False
2017-10-08,93,False
2017-10-15,97,False
2017-10-22,96,False
2017-10-29,99,False
2017-11-05,98,False
2017-11-12,98,False
2017-11-19,95,False
2017-11-26,96,False
2017-12-03,98,False
2017-12-10,83,False
2017-12-17,87,True
