date,LEOcoin,isPartial
2016-12-25,38,False
2017-01-01,64,False
2017-01-08,47,False
2017-01-15,40,False
2017-01-22,26,False
2017-01-29,33,False
2017-02-05,13,False
2017-02-12,33,False
2017-02-19,26,False
2017-02-26,65,False
2017-03-05,64,False
2017-03-12,70,False
2017-03-19,20,False
2017-03-26,20,False
2017-04-02,46,False
2017-04-09,27,False
2017-04-16,65,False
2017-04-23,19,False
2017-04-30,27,False
2017-05-07,46,False
2017-05-14,35,False
2017-05-21,29,False
2017-05-28,21,False
2017-06-04,34,False
2017-06-11,56,False
2017-06-18,47,False
2017-06-25,36,False
2017-07-02,43,False
2017-07-09,35,False
2017-07-16,29,False
2017-07-23,28,False
2017-07-30,20,False
2017-08-06,41,False
2017-08-13,41,False
2017-08-20,48,False
2017-08-27,27,False
2017-09-03,7,False
2017-09-10,40,False
2017-09-17,27,False
2017-09-24,33,False
2017-10-01,27,False
2017-10-08,46,False
2017-10-15,26,False
2017-10-22,33,False
2017-10-29,39,False
2017-11-05,32,False
2017-11-12,32,False
2017-11-19,51,False
2017-11-26,38,False
2017-12-03,19,False
2017-12-10,77,False
2017-12-17,100,True
