date,Anoncoin,isPartial
2016-12-25,0,False
2017-01-01,22,False
2017-01-08,0,False
2017-01-15,20,False
2017-01-22,0,False
2017-01-29,0,False
2017-02-05,0,False
2017-02-12,20,False
2017-02-19,0,False
2017-02-26,0,False
2017-03-05,19,False
2017-03-12,0,False
2017-03-19,0,False
2017-03-26,40,False
2017-04-02,0,False
2017-04-09,0,False
2017-04-16,0,False
2017-04-23,0,False
2017-04-30,0,False
2017-05-07,0,False
2017-05-14,21,False
2017-05-21,43,False
2017-05-28,21,False
2017-06-04,21,False
2017-06-11,0,False
2017-06-18,62,False
2017-06-25,87,False
2017-07-02,22,False
2017-07-09,0,False
2017-07-16,22,False
2017-07-23,21,False
2017-07-30,0,False
2017-08-06,21,False
2017-08-13,21,False
2017-08-20,0,False
2017-08-27,0,False
2017-09-03,0,False
2017-09-10,0,False
2017-09-17,20,False
2017-09-24,20,False
2017-10-01,41,False
2017-10-08,20,False
2017-10-15,0,False
2017-10-22,40,False
2017-10-29,100,False
2017-11-05,39,False
2017-11-12,19,False
2017-11-19,39,False
2017-11-26,58,False
2017-12-03,0,False
2017-12-10,78,False
2017-12-17,55,True
