date,Curecoin,isPartial
2016-12-25,16,False
2017-01-01,22,False
2017-01-08,0,False
2017-01-15,27,False
2017-01-22,20,False
2017-01-29,13,False
2017-02-05,20,False
2017-02-12,14,False
2017-02-19,7,False
2017-02-26,20,False
2017-03-05,0,False
2017-03-12,26,False
2017-03-19,14,False
2017-03-26,34,False
2017-04-02,20,False
2017-04-09,21,False
2017-04-16,7,False
2017-04-23,20,False
2017-04-30,21,False
2017-05-07,14,False
2017-05-14,14,False
2017-05-21,22,False
2017-05-28,7,False
2017-06-04,50,False
2017-06-11,22,False
2017-06-18,42,False
2017-06-25,30,False
2017-07-02,7,False
2017-07-09,22,False
2017-07-16,15,False
2017-07-23,36,False
2017-07-30,7,False
2017-08-06,28,False
2017-08-13,7,False
2017-08-20,56,False
2017-08-27,36,False
2017-09-03,49,False
2017-09-10,34,False
2017-09-17,21,False
2017-09-24,7,False
2017-10-01,21,False
2017-10-08,21,False
2017-10-15,21,False
2017-10-22,14,False
2017-10-29,41,False
2017-11-05,100,False
2017-11-12,53,False
2017-11-19,40,False
2017-11-26,7,False
2017-12-03,27,False
2017-12-10,40,False
2017-12-17,38,True
