date,Unify,isPartial
2016-12-25,42,False
2017-01-01,68,False
2017-01-08,72,False
2017-01-15,68,False
2017-01-22,77,False
2017-01-29,79,False
2017-02-05,75,False
2017-02-12,70,False
2017-02-19,71,False
2017-02-26,75,False
2017-03-05,70,False
2017-03-12,69,False
2017-03-19,62,False
2017-03-26,73,False
2017-04-02,64,False
2017-04-09,55,False
2017-04-16,56,False
2017-04-23,68,False
2017-04-30,68,False
2017-05-07,72,False
2017-05-14,59,False
2017-05-21,60,False
2017-05-28,55,False
2017-06-04,68,False
2017-06-11,68,False
2017-06-18,64,False
2017-06-25,65,False
2017-07-02,65,False
2017-07-09,63,False
2017-07-16,64,False
2017-07-23,61,False
2017-07-30,58,False
2017-08-06,48,False
2017-08-13,51,False
2017-08-20,53,False
2017-08-27,77,False
2017-09-03,68,False
2017-09-10,85,False
2017-09-17,86,False
2017-09-24,91,False
2017-10-01,96,False
2017-10-08,85,False
2017-10-15,91,False
2017-10-22,75,False
2017-10-29,81,False
2017-11-05,82,False
2017-11-12,100,False
2017-11-19,70,False
2017-11-26,85,False
2017-12-03,89,False
2017-12-10,84,False
2017-12-17,69,True
