date,Tokugawa,isPartial
2016-12-25,37,False
2017-01-01,55,False
2017-01-08,72,False
2017-01-15,74,False
2017-01-22,67,False
2017-01-29,87,False
2017-02-05,83,False
2017-02-12,77,False
2017-02-19,83,False
2017-02-26,100,False
2017-03-05,77,False
2017-03-12,68,False
2017-03-19,66,False
2017-03-26,53,False
2017-04-02,63,False
2017-04-09,65,False
2017-04-16,59,False
2017-04-23,65,False
2017-04-30,78,False
2017-05-07,78,False
2017-05-14,81,False
2017-05-21,61,False
2017-05-28,55,False
2017-06-04,49,False
2017-06-11,42,False
2017-06-18,35,False
2017-06-25,33,False
2017-07-02,45,False
2017-07-09,31,False
2017-07-16,41,False
2017-07-23,38,False
2017-07-30,36,False
2017-08-06,32,False
2017-08-13,35,False
2017-08-20,38,False
2017-08-27,36,False
2017-09-03,43,False
2017-09-10,49,False
2017-09-17,47,False
2017-09-24,63,False
2017-10-01,65,False
2017-10-08,59,False
2017-10-15,60,False
2017-10-22,53,False
2017-10-29,57,False
2017-11-05,68,False
2017-11-12,71,False
2017-11-19,50,False
2017-11-26,54,False
2017-12-03,64,False
2017-12-10,79,False
2017-12-17,44,True
