date,8Bit,isPartial
2016-12-25,89,False
2017-01-01,99,False
2017-01-08,88,False
2017-01-15,96,False
2017-01-22,85,False
2017-01-29,97,False
2017-02-05,92,False
2017-02-12,87,False
2017-02-19,99,False
2017-02-26,89,False
2017-03-05,99,False
2017-03-12,100,False
2017-03-19,86,False
2017-03-26,98,False
2017-04-02,92,False
2017-04-09,92,False
2017-04-16,92,False
2017-04-23,97,False
2017-04-30,90,False
2017-05-07,89,False
2017-05-14,77,False
2017-05-21,85,False
2017-05-28,81,False
2017-06-04,91,False
2017-06-11,74,False
2017-06-18,79,False
2017-06-25,77,False
2017-07-02,79,False
2017-07-09,79,False
2017-07-16,79,False
2017-07-23,81,False
2017-07-30,68,False
2017-08-06,83,False
2017-08-13,79,False
2017-08-20,73,False
2017-08-27,83,False
2017-09-03,75,False
2017-09-10,82,False
2017-09-17,72,False
2017-09-24,83,False
2017-10-01,71,False
2017-10-08,83,False
2017-10-15,83,False
2017-10-22,82,False
2017-10-29,76,False
2017-11-05,95,False
2017-11-12,92,False
2017-11-19,80,False
2017-11-26,92,False
2017-12-03,90,False
2017-12-10,83,False
2017-12-17,82,True
