date,Argus,isPartial
2016-12-25,60,False
2017-01-01,69,False
2017-01-08,71,False
2017-01-15,71,False
2017-01-22,70,False
2017-01-29,70,False
2017-02-05,68,False
2017-02-12,63,False
2017-02-19,69,False
2017-02-26,71,False
2017-03-05,71,False
2017-03-12,83,False
2017-03-19,70,False
2017-03-26,63,False
2017-04-02,63,False
2017-04-09,61,False
2017-04-16,62,False
2017-04-23,59,False
2017-04-30,61,False
2017-05-07,61,False
2017-05-14,68,False
2017-05-21,67,False
2017-05-28,70,False
2017-06-04,71,False
2017-06-11,71,False
2017-06-18,74,False
2017-06-25,73,False
2017-07-02,66,False
2017-07-09,68,False
2017-07-16,64,False
2017-07-23,70,False
2017-07-30,65,False
2017-08-06,70,False
2017-08-13,64,False
2017-08-20,73,False
2017-08-27,100,False
2017-09-03,99,False
2017-09-10,97,False
2017-09-17,88,False
2017-09-24,80,False
2017-10-01,75,False
2017-10-08,75,False
2017-10-15,73,False
2017-10-22,73,False
2017-10-29,71,False
2017-11-05,75,False
2017-11-12,72,False
2017-11-19,71,False
2017-11-26,73,False
2017-12-03,75,False
2017-12-10,75,False
2017-12-17,72,True
