date,Linda,isPartial
2016-12-25,86,False
2017-01-01,83,False
2017-01-08,87,False
2017-01-15,84,False
2017-01-22,95,False
2017-01-29,86,False
2017-02-05,85,False
2017-02-12,87,False
2017-02-19,86,False
2017-02-26,83,False
2017-03-05,87,False
2017-03-12,85,False
2017-03-19,89,False
2017-03-26,86,False
2017-04-02,80,False
2017-04-09,84,False
2017-04-16,84,False
2017-04-23,82,False
2017-04-30,84,False
2017-05-07,81,False
2017-05-14,81,False
2017-05-21,80,False
2017-05-28,83,False
2017-06-04,81,False
2017-06-11,84,False
2017-06-18,80,False
2017-06-25,85,False
2017-07-02,83,False
2017-07-09,84,False
2017-07-16,89,False
2017-07-23,88,False
2017-07-30,85,False
2017-08-06,84,False
2017-08-13,85,False
2017-08-20,80,False
2017-08-27,82,False
2017-09-03,80,False
2017-09-10,80,False
2017-09-17,85,False
2017-09-24,100,False
2017-10-01,95,False
2017-10-08,83,False
2017-10-15,83,False
2017-10-22,84,False
2017-10-29,86,False
2017-11-05,82,False
2017-11-12,79,False
2017-11-19,81,False
2017-11-26,78,False
2017-12-03,78,False
2017-12-10,80,False
2017-12-17,79,True
