date,Mavro,isPartial
2016-12-25,91,False
2017-01-01,72,False
2017-01-08,99,False
2017-01-15,73,False
2017-01-22,51,False
2017-01-29,94,False
2017-02-05,71,False
2017-02-12,63,False
2017-02-19,51,False
2017-02-26,54,False
2017-03-05,60,False
2017-03-12,56,False
2017-03-19,73,False
2017-03-26,85,False
2017-04-02,55,False
2017-04-09,98,False
2017-04-16,100,False
2017-04-23,86,False
2017-04-30,86,False
2017-05-07,60,False
2017-05-14,54,False
2017-05-21,38,False
2017-05-28,39,False
2017-06-04,60,False
2017-06-11,45,False
2017-06-18,55,False
2017-06-25,53,False
2017-07-02,73,False
2017-07-09,50,False
2017-07-16,53,False
2017-07-23,66,False
2017-07-30,46,False
2017-08-06,66,False
2017-08-13,56,False
2017-08-20,60,False
2017-08-27,62,False
2017-09-03,62,False
2017-09-10,60,False
2017-09-17,49,False
2017-09-24,36,False
2017-10-01,50,False
2017-10-08,56,False
2017-10-15,36,False
2017-10-22,46,False
2017-10-29,51,False
2017-11-05,46,False
2017-11-12,50,False
2017-11-19,39,False
2017-11-26,30,False
2017-12-03,66,False
2017-12-10,65,False
2017-12-17,89,True
