date,Lykke,isPartial
2016-12-25,72,False
2017-01-01,83,False
2017-01-08,86,False
2017-01-15,72,False
2017-01-22,91,False
2017-01-29,73,False
2017-02-05,84,False
2017-02-12,90,False
2017-02-19,84,False
2017-02-26,79,False
2017-03-05,89,False
2017-03-12,93,False
2017-03-19,89,False
2017-03-26,79,False
2017-04-02,80,False
2017-04-09,74,False
2017-04-16,77,False
2017-04-23,77,False
2017-04-30,89,False
2017-05-07,92,False
2017-05-14,70,False
2017-05-21,80,False
2017-05-28,97,False
2017-06-04,95,False
2017-06-11,98,False
2017-06-18,98,False
2017-06-25,98,False
2017-07-02,89,False
2017-07-09,94,False
2017-07-16,85,False
2017-07-23,83,False
2017-07-30,95,False
2017-08-06,80,False
2017-08-13,92,False
2017-08-20,91,False
2017-08-27,92,False
2017-09-03,96,False
2017-09-10,81,False
2017-09-17,85,False
2017-09-24,90,False
2017-10-01,93,False
2017-10-08,91,False
2017-10-15,88,False
2017-10-22,80,False
2017-10-29,87,False
2017-11-05,76,False
2017-11-12,84,False
2017-11-19,77,False
2017-11-26,89,False
2017-12-03,96,False
2017-12-10,93,False
2017-12-17,100,True
