date,Unitus,isPartial
2016-12-25,47,False
2017-01-01,54,False
2017-01-08,64,False
2017-01-15,62,False
2017-01-22,69,False
2017-01-29,84,False
2017-02-05,76,False
2017-02-12,83,False
2017-02-19,87,False
2017-02-26,73,False
2017-03-05,64,False
2017-03-12,76,False
2017-03-19,67,False
2017-03-26,63,False
2017-04-02,70,False
2017-04-09,49,False
2017-04-16,61,False
2017-04-23,68,False
2017-04-30,62,False
2017-05-07,70,False
2017-05-14,62,False
2017-05-21,88,False
2017-05-28,67,False
2017-06-04,81,False
2017-06-11,56,False
2017-06-18,58,False
2017-06-25,66,False
2017-07-02,60,False
2017-07-09,61,False
2017-07-16,57,False
2017-07-23,61,False
2017-07-30,49,False
2017-08-06,46,False
2017-08-13,37,False
2017-08-20,62,False
2017-08-27,75,False
2017-09-03,72,False
2017-09-10,75,False
2017-09-17,82,False
2017-09-24,100,False
2017-10-01,83,False
2017-10-08,64,False
2017-10-15,70,False
2017-10-22,64,False
2017-10-29,80,False
2017-11-05,74,False
2017-11-12,63,False
2017-11-19,62,False
2017-11-26,83,False
2017-12-03,40,False
2017-12-10,74,False
2017-12-17,74,True
