date,Litecoin,isPartial
2017-01-01,1,False
2017-01-08,1,False
2017-01-15,0,False
2017-01-22,0,False
2017-01-29,1,False
2017-02-05,0,False
2017-02-12,0,False
2017-02-19,0,False
2017-02-26,1,False
2017-03-05,1,False
2017-03-12,1,False
2017-03-19,1,False
2017-03-26,1,False
2017-04-02,2,False
2017-04-09,2,False
2017-04-16,2,False
2017-04-23,2,False
2017-04-30,3,False
2017-05-07,4,False
2017-05-14,3,False
2017-05-21,5,False
2017-05-28,3,False
2017-06-04,9,False
2017-06-11,8,False
2017-06-18,7,False
2017-06-25,4,False
2017-07-02,5,False
2017-07-09,4,False
2017-07-16,4,False
2017-07-23,3,False
2017-07-30,4,False
2017-08-06,4,False
2017-08-13,4,False
2017-08-20,5,False
2017-08-27,11,False
2017-09-03,8,False
2017-09-10,6,False
2017-09-17,4,False
2017-09-24,3,False
2017-10-01,3,False
2017-10-08,5,False
2017-10-15,5,False
2017-10-22,4,False
2017-10-29,5,False
2017-11-05,7,False
2017-11-12,7,False
2017-11-19,9,False
2017-11-26,21,False
2017-12-03,32,False
2017-12-10,100,False
2017-12-17,55,False
2017-12-24,29,True
