date,GAY Money,isPartial
2016-12-25,90,False
2017-01-01,83,False
2017-01-08,77,False
2017-01-15,79,False
2017-01-22,92,False
2017-01-29,77,False
2017-02-05,70,False
2017-02-12,86,False
2017-02-19,76,False
2017-02-26,67,False
2017-03-05,79,False
2017-03-12,88,False
2017-03-19,71,False
2017-03-26,69,False
2017-04-02,80,False
2017-04-09,84,False
2017-04-16,82,False
2017-04-23,68,False
2017-04-30,100,False
2017-05-07,79,False
2017-05-14,75,False
2017-05-21,81,False
2017-05-28,77,False
2017-06-04,83,False
2017-06-11,92,False
2017-06-18,84,False
2017-06-25,97,False
2017-07-02,92,False
2017-07-09,90,False
2017-07-16,74,False
2017-07-23,78,False
2017-07-30,88,False
2017-08-06,80,False
2017-08-13,59,False
2017-08-20,71,False
2017-08-27,80,False
2017-09-03,59,False
2017-09-10,64,False
2017-09-17,85,False
2017-09-24,76,False
2017-10-01,82,False
2017-10-08,59,False
2017-10-15,71,False
2017-10-22,64,False
2017-10-29,77,False
2017-11-05,63,False
2017-11-12,80,False
2017-11-19,70,False
2017-11-26,62,False
2017-12-03,74,False
2017-12-10,84,False
2017-12-17,61,True
