date,Operand,isPartial
2016-12-25,50,False
2017-01-01,51,False
2017-01-08,59,False
2017-01-15,67,False
2017-01-22,71,False
2017-01-29,73,False
2017-02-05,95,False
2017-02-12,65,False
2017-02-19,72,False
2017-02-26,76,False
2017-03-05,82,False
2017-03-12,82,False
2017-03-19,84,False
2017-03-26,72,False
2017-04-02,80,False
2017-04-09,72,False
2017-04-16,82,False
2017-04-23,56,False
2017-04-30,67,False
2017-05-07,66,False
2017-05-14,73,False
2017-05-21,65,False
2017-05-28,54,False
2017-06-04,58,False
2017-06-11,67,False
2017-06-18,62,False
2017-06-25,46,False
2017-07-02,46,False
2017-07-09,60,False
2017-07-16,62,False
2017-07-23,58,False
2017-07-30,48,False
2017-08-06,44,False
2017-08-13,58,False
2017-08-20,49,False
2017-08-27,53,False
2017-09-03,68,False
2017-09-10,88,False
2017-09-17,85,False
2017-09-24,75,False
2017-10-01,80,False
2017-10-08,92,False
2017-10-15,60,False
2017-10-22,67,False
2017-10-29,91,False
2017-11-05,100,False
2017-11-12,88,False
2017-11-19,68,False
2017-11-26,81,False
2017-12-03,90,False
2017-12-10,72,False
2017-12-17,63,True
