date,USDMXN,isPartial
2017-01-08,90,False
2017-01-15,76,False
2017-01-22,100,False
2017-01-29,54,False
2017-02-05,55,False
2017-02-12,40,False
2017-02-19,62,False
2017-02-26,47,False
2017-03-05,45,False
2017-03-12,44,False
2017-03-19,50,False
2017-03-26,51,False
2017-04-02,46,False
2017-04-09,46,False
2017-04-16,35,False
2017-04-23,49,False
2017-04-30,38,False
2017-05-07,40,False
2017-05-14,35,False
2017-05-21,38,False
2017-05-28,28,False
2017-06-04,39,False
2017-06-11,41,False
2017-06-18,55,False
2017-06-25,43,False
2017-07-02,25,False
2017-07-09,30,False
2017-07-16,37,False
2017-07-23,30,False
2017-07-30,26,False
2017-08-06,28,False
2017-08-13,22,False
2017-08-20,34,False
2017-08-27,26,False
2017-09-03,23,False
2017-09-10,27,False
2017-09-17,30,False
2017-09-24,29,False
2017-10-01,35,False
2017-10-08,47,False
2017-10-15,57,False
2017-10-22,36,False
2017-10-29,45,False
2017-11-05,27,False
2017-11-12,24,False
2017-11-19,32,False
2017-11-26,45,False
2017-12-03,37,False
2017-12-10,39,False
2017-12-17,44,False
2017-12-24,55,False
2017-12-31,41,True
