date,Pioneer Coin,isPartial
2016-12-25,52,False
2017-01-01,42,False
2017-01-08,46,False
2017-01-15,78,False
2017-01-22,26,False
2017-01-29,32,False
2017-02-05,72,False
2017-02-12,45,False
2017-02-19,85,False
2017-02-26,38,False
2017-03-05,31,False
2017-03-12,38,False
2017-03-19,45,False
2017-03-26,59,False
2017-04-02,13,False
2017-04-09,34,False
2017-04-16,7,False
2017-04-23,39,False
2017-04-30,66,False
2017-05-07,86,False
2017-05-14,55,False
2017-05-21,42,False
2017-05-28,50,False
2017-06-04,34,False
2017-06-11,35,False
2017-06-18,13,False
2017-06-25,21,False
2017-07-02,57,False
2017-07-09,49,False
2017-07-16,35,False
2017-07-23,35,False
2017-07-30,34,False
2017-08-06,54,False
2017-08-13,21,False
2017-08-20,48,False
2017-08-27,54,False
2017-09-03,41,False
2017-09-10,65,False
2017-09-17,46,False
2017-09-24,33,False
2017-10-01,40,False
2017-10-08,46,False
2017-10-15,59,False
2017-10-22,64,False
2017-10-29,59,False
2017-11-05,38,False
2017-11-12,57,False
2017-11-19,51,False
2017-11-26,57,False
2017-12-03,32,False
2017-12-10,77,False
2017-12-17,100,True
