date,WARP,isPartial
2016-12-25,81,False
2017-01-01,77,False
2017-01-08,79,False
2017-01-15,71,False
2017-01-22,74,False
2017-01-29,70,False
2017-02-05,78,False
2017-02-12,77,False
2017-02-19,86,False
2017-02-26,80,False
2017-03-05,72,False
2017-03-12,78,False
2017-03-19,86,False
2017-03-26,94,False
2017-04-02,100,False
2017-04-09,77,False
2017-04-16,71,False
2017-04-23,71,False
2017-04-30,76,False
2017-05-07,78,False
2017-05-14,76,False
2017-05-21,69,False
2017-05-28,70,False
2017-06-04,68,False
2017-06-11,65,False
2017-06-18,69,False
2017-06-25,67,False
2017-07-02,76,False
2017-07-09,73,False
2017-07-16,70,False
2017-07-23,68,False
2017-07-30,69,False
2017-08-06,70,False
2017-08-13,83,False
2017-08-20,68,False
2017-08-27,68,False
2017-09-03,70,False
2017-09-10,68,False
2017-09-17,76,False
2017-09-24,73,False
2017-10-01,67,False
2017-10-08,77,False
2017-10-15,76,False
2017-10-22,70,False
2017-10-29,73,False
2017-11-05,67,False
2017-11-12,76,False
2017-11-19,70,False
2017-11-26,73,False
2017-12-03,76,False
2017-12-10,68,False
2017-12-17,69,True
