date,iBank,isPartial
2016-12-25,84,False
2017-01-01,82,False
2017-01-08,83,False
2017-01-15,86,False
2017-01-22,93,False
2017-01-29,93,False
2017-02-05,93,False
2017-02-12,88,False
2017-02-19,87,False
2017-02-26,91,False
2017-03-05,84,False
2017-03-12,78,False
2017-03-19,81,False
2017-03-26,94,False
2017-04-02,93,False
2017-04-09,88,False
2017-04-16,89,False
2017-04-23,100,False
2017-04-30,93,False
2017-05-07,90,False
2017-05-14,83,False
2017-05-21,90,False
2017-05-28,88,False
2017-06-04,74,False
2017-06-11,91,False
2017-06-18,89,False
2017-06-25,76,False
2017-07-02,96,False
2017-07-09,81,False
2017-07-16,82,False
2017-07-23,92,False
2017-07-30,91,False
2017-08-06,79,False
2017-08-13,81,False
2017-08-20,82,False
2017-08-27,90,False
2017-09-03,80,False
2017-09-10,89,False
2017-09-17,84,False
2017-09-24,91,False
2017-10-01,91,False
2017-10-08,82,False
2017-10-15,79,False
2017-10-22,91,False
2017-10-29,90,False
2017-11-05,79,False
2017-11-12,76,False
2017-11-19,84,False
2017-11-26,86,False
2017-12-03,92,False
2017-12-10,83,False
2017-12-17,92,True
