date,Blackstar,isPartial
2016-12-25,86,False
2017-01-01,81,False
2017-01-08,89,False
2017-01-15,71,False
2017-01-22,69,False
2017-01-29,64,False
2017-02-05,58,False
2017-02-12,100,False
2017-02-19,70,False
2017-02-26,65,False
2017-03-05,63,False
2017-03-12,58,False
2017-03-19,59,False
2017-03-26,59,False
2017-04-02,53,False
2017-04-09,56,False
2017-04-16,61,False
2017-04-23,50,False
2017-04-30,52,False
2017-05-07,55,False
2017-05-14,51,False
2017-05-21,52,False
2017-05-28,47,False
2017-06-04,51,False
2017-06-11,52,False
2017-06-18,45,False
2017-06-25,48,False
2017-07-02,43,False
2017-07-09,58,False
2017-07-16,49,False
2017-07-23,53,False
2017-07-30,54,False
2017-08-06,53,False
2017-08-13,48,False
2017-08-20,51,False
2017-08-27,53,False
2017-09-03,48,False
2017-09-10,56,False
2017-09-17,50,False
2017-09-24,49,False
2017-10-01,53,False
2017-10-08,48,False
2017-10-15,56,False
2017-10-22,52,False
2017-10-29,52,False
2017-11-05,52,False
2017-11-12,52,False
2017-11-19,58,False
2017-11-26,52,False
2017-12-03,53,False
2017-12-10,57,False
2017-12-17,51,True
