date,Primecoin,isPartial
2016-12-25,19,False
2017-01-01,30,False
2017-01-08,0,False
2017-01-15,17,False
2017-01-22,11,False
2017-01-29,11,False
2017-02-05,33,False
2017-02-12,11,False
2017-02-19,11,False
2017-02-26,16,False
2017-03-05,16,False
2017-03-12,11,False
2017-03-19,17,False
2017-03-26,6,False
2017-04-02,11,False
2017-04-09,6,False
2017-04-16,33,False
2017-04-23,11,False
2017-04-30,28,False
2017-05-07,61,False
2017-05-14,18,False
2017-05-21,54,False
2017-05-28,48,False
2017-06-04,75,False
2017-06-11,41,False
2017-06-18,23,False
2017-06-25,67,False
2017-07-02,30,False
2017-07-09,36,False
2017-07-16,61,False
2017-07-23,35,False
2017-07-30,64,False
2017-08-06,17,False
2017-08-13,52,False
2017-08-20,52,False
2017-08-27,29,False
2017-09-03,17,False
2017-09-10,17,False
2017-09-17,28,False
2017-09-24,11,False
2017-10-01,28,False
2017-10-08,22,False
2017-10-15,28,False
2017-10-22,61,False
2017-10-29,33,False
2017-11-05,33,False
2017-11-12,22,False
2017-11-19,38,False
2017-11-26,96,False
2017-12-03,81,False
2017-12-10,82,False
2017-12-17,100,True
