date,PX,isPartial
2016-12-25,84,False
2017-01-01,78,False
2017-01-08,82,False
2017-01-15,79,False
2017-01-22,80,False
2017-01-29,82,False
2017-02-05,82,False
2017-02-12,80,False
2017-02-19,83,False
2017-02-26,85,False
2017-03-05,86,False
2017-03-12,86,False
2017-03-19,82,False
2017-03-26,89,False
2017-04-02,87,False
2017-04-09,86,False
2017-04-16,82,False
2017-04-23,84,False
2017-04-30,82,False
2017-05-07,85,False
2017-05-14,84,False
2017-05-21,81,False
2017-05-28,88,False
2017-06-04,82,False
2017-06-11,84,False
2017-06-18,82,False
2017-06-25,83,False
2017-07-02,82,False
2017-07-09,86,False
2017-07-16,86,False
2017-07-23,85,False
2017-07-30,87,False
2017-08-06,83,False
2017-08-13,81,False
2017-08-20,85,False
2017-08-27,84,False
2017-09-03,88,False
2017-09-10,79,False
2017-09-17,83,False
2017-09-24,80,False
2017-10-01,86,False
2017-10-08,88,False
2017-10-15,82,False
2017-10-22,85,False
2017-10-29,86,False
2017-11-05,88,False
2017-11-12,89,False
2017-11-19,100,False
2017-11-26,92,False
2017-12-03,87,False
2017-12-10,89,False
2017-12-17,92,True
