date,Environ,isPartial
2016-12-25,66,False
2017-01-01,79,False
2017-01-08,75,False
2017-01-15,88,False
2017-01-22,78,False
2017-01-29,85,False
2017-02-05,93,False
2017-02-12,87,False
2017-02-19,92,False
2017-02-26,94,False
2017-03-05,89,False
2017-03-12,94,False
2017-03-19,95,False
2017-03-26,92,False
2017-04-02,94,False
2017-04-09,90,False
2017-04-16,97,False
2017-04-23,89,False
2017-04-30,91,False
2017-05-07,89,False
2017-05-14,95,False
2017-05-21,90,False
2017-05-28,85,False
2017-06-04,91,False
2017-06-11,87,False
2017-06-18,82,False
2017-06-25,90,False
2017-07-02,86,False
2017-07-09,99,False
2017-07-16,83,False
2017-07-23,97,False
2017-07-30,90,False
2017-08-06,100,False
2017-08-13,96,False
2017-08-20,86,False
2017-08-27,94,False
2017-09-03,82,False
2017-09-10,84,False
2017-09-17,82,False
2017-09-24,83,False
2017-10-01,85,False
2017-10-08,89,False
2017-10-15,87,False
2017-10-22,88,False
2017-10-29,92,False
2017-11-05,89,False
2017-11-12,85,False
2017-11-19,85,False
2017-11-26,78,False
2017-12-03,82,False
2017-12-10,74,False
2017-12-17,82,True
