date,Denarius,isPartial
2016-12-25,44,False
2017-01-01,15,False
2017-01-08,27,False
2017-01-15,43,False
2017-01-22,36,False
2017-01-29,28,False
2017-02-05,28,False
2017-02-12,21,False
2017-02-19,24,False
2017-02-26,28,False
2017-03-05,23,False
2017-03-12,28,False
2017-03-19,36,False
2017-03-26,22,False
2017-04-02,40,False
2017-04-09,45,False
2017-04-16,33,False
2017-04-23,33,False
2017-04-30,48,False
2017-05-07,24,False
2017-05-14,35,False
2017-05-21,36,False
2017-05-28,36,False
2017-06-04,45,False
2017-06-11,41,False
2017-06-18,49,False
2017-06-25,34,False
2017-07-02,36,False
2017-07-09,53,False
2017-07-16,97,False
2017-07-23,71,False
2017-07-30,85,False
2017-08-06,77,False
2017-08-13,58,False
2017-08-20,99,False
2017-08-27,100,False
2017-09-03,61,False
2017-09-10,77,False
2017-09-17,58,False
2017-09-24,73,False
2017-10-01,44,False
2017-10-08,43,False
2017-10-15,72,False
2017-10-22,64,False
2017-10-29,36,False
2017-11-05,23,False
2017-11-12,42,False
2017-11-19,33,False
2017-11-26,53,False
2017-12-03,51,False
2017-12-10,37,False
2017-12-17,36,True
