date,Macquarie Bank,isPartial
2017-01-01,73,False
2017-01-08,79,False
2017-01-15,78,False
2017-01-22,74,False
2017-01-29,82,False
2017-02-05,84,False
2017-02-12,88,False
2017-02-19,85,False
2017-02-26,92,False
2017-03-05,85,False
2017-03-12,83,False
2017-03-19,76,False
2017-03-26,79,False
2017-04-02,86,False
2017-04-09,75,False
2017-04-16,78,False
2017-04-23,74,False
2017-04-30,91,False
2017-05-07,94,False
2017-05-14,85,False
2017-05-21,87,False
2017-05-28,95,False
2017-06-04,85,False
2017-06-11,84,False
2017-06-18,89,False
2017-06-25,100,False
2017-07-02,93,False
2017-07-09,89,False
2017-07-16,86,False
2017-07-23,88,False
2017-07-30,93,False
2017-08-06,86,False
2017-08-13,84,False
2017-08-20,83,False
2017-08-27,91,False
2017-09-03,92,False
2017-09-10,93,False
2017-09-17,90,False
2017-09-24,94,False
2017-10-01,77,False
2017-10-08,83,False
2017-10-15,93,False
2017-10-22,90,False
2017-10-29,96,False
2017-11-05,90,False
2017-11-12,85,False
2017-11-19,78,False
2017-11-26,84,False
2017-12-03,83,False
2017-12-10,81,False
2017-12-17,77,False
2017-12-24,22,True
