date,Cryptonite,isPartial
2016-12-25,14,False
2017-01-01,32,False
2017-01-08,31,False
2017-01-15,42,False
2017-01-22,12,False
2017-01-29,30,False
2017-02-05,30,False
2017-02-12,24,False
2017-02-19,12,False
2017-02-26,36,False
2017-03-05,6,False
2017-03-12,53,False
2017-03-19,60,False
2017-03-26,18,False
2017-04-02,30,False
2017-04-09,56,False
2017-04-16,12,False
2017-04-23,30,False
2017-04-30,43,False
2017-05-07,24,False
2017-05-14,44,False
2017-05-21,59,False
2017-05-28,32,False
2017-06-04,13,False
2017-06-11,51,False
2017-06-18,93,False
2017-06-25,40,False
2017-07-02,26,False
2017-07-09,71,False
2017-07-16,66,False
2017-07-23,51,False
2017-07-30,25,False
2017-08-06,12,False
2017-08-13,19,False
2017-08-20,19,False
2017-08-27,31,False
2017-09-03,25,False
2017-09-10,18,False
2017-09-17,37,False
2017-09-24,43,False
2017-10-01,24,False
2017-10-08,30,False
2017-10-15,67,False
2017-10-22,54,False
2017-10-29,36,False
2017-11-05,30,False
2017-11-12,35,False
2017-11-19,41,False
2017-11-26,29,False
2017-12-03,70,False
2017-12-10,77,False
2017-12-17,100,True
