date,Namecoin,isPartial
2016-12-25,4,False
2017-01-01,12,False
2017-01-08,16,False
2017-01-15,14,False
2017-01-22,6,False
2017-01-29,18,False
2017-02-05,8,False
2017-02-12,13,False
2017-02-19,13,False
2017-02-26,8,False
2017-03-05,22,False
2017-03-12,55,False
2017-03-19,17,False
2017-03-26,23,False
2017-04-02,17,False
2017-04-09,20,False
2017-04-16,10,False
2017-04-23,24,False
2017-04-30,30,False
2017-05-07,29,False
2017-05-14,36,False
2017-05-21,53,False
2017-05-28,34,False
2017-06-04,48,False
2017-06-11,33,False
2017-06-18,47,False
2017-06-25,50,False
2017-07-02,36,False
2017-07-09,25,False
2017-07-16,27,False
2017-07-23,51,False
2017-07-30,24,False
2017-08-06,37,False
2017-08-13,32,False
2017-08-20,43,False
2017-08-27,53,False
2017-09-03,33,False
2017-09-10,20,False
2017-09-17,45,False
2017-09-24,23,False
2017-10-01,32,False
2017-10-08,24,False
2017-10-15,33,False
2017-10-22,29,False
2017-10-29,24,False
2017-11-05,45,False
2017-11-12,39,False
2017-11-19,37,False
2017-11-26,86,False
2017-12-03,59,False
2017-12-10,79,False
2017-12-17,100,True
