date,DigiCube,isPartial
2016-12-25,23,False
2017-01-01,33,False
2017-01-08,21,False
2017-01-15,30,False
2017-01-22,31,False
2017-01-29,20,False
2017-02-05,71,False
2017-02-12,20,False
2017-02-19,0,False
2017-02-26,0,False
2017-03-05,20,False
2017-03-12,29,False
2017-03-19,10,False
2017-03-26,41,False
2017-04-02,20,False
2017-04-09,21,False
2017-04-16,10,False
2017-04-23,10,False
2017-04-30,31,False
2017-05-07,21,False
2017-05-14,0,False
2017-05-21,44,False
2017-05-28,11,False
2017-06-04,21,False
2017-06-11,22,False
2017-06-18,21,False
2017-06-25,44,False
2017-07-02,56,False
2017-07-09,33,False
2017-07-16,33,False
2017-07-23,43,False
2017-07-30,21,False
2017-08-06,52,False
2017-08-13,21,False
2017-08-20,53,False
2017-08-27,42,False
2017-09-03,0,False
2017-09-10,41,False
2017-09-17,10,False
2017-09-24,21,False
2017-10-01,10,False
2017-10-08,10,False
2017-10-15,31,False
2017-10-22,10,False
2017-10-29,20,False
2017-11-05,30,False
2017-11-12,10,False
2017-11-19,20,False
2017-11-26,10,False
2017-12-03,50,False
2017-12-10,100,False
2017-12-17,57,True
