date,Chronos,isPartial
2016-12-25,87,False
2017-01-01,100,False
2017-01-08,91,False
2017-01-15,84,False
2017-01-22,95,False
2017-01-29,92,False
2017-02-05,87,False
2017-02-12,89,False
2017-02-19,76,False
2017-02-26,82,False
2017-03-05,78,False
2017-03-12,88,False
2017-03-19,88,False
2017-03-26,82,False
2017-04-02,95,False
2017-04-09,79,False
2017-04-16,81,False
2017-04-23,73,False
2017-04-30,77,False
2017-05-07,81,False
2017-05-14,82,False
2017-05-21,72,False
2017-05-28,74,False
2017-06-04,72,False
2017-06-11,69,False
2017-06-18,81,False
2017-06-25,81,False
2017-07-02,76,False
2017-07-09,88,False
2017-07-16,87,False
2017-07-23,81,False
2017-07-30,90,False
2017-08-06,76,False
2017-08-13,77,False
2017-08-20,81,False
2017-08-27,83,False
2017-09-03,83,False
2017-09-10,85,False
2017-09-17,87,False
2017-09-24,81,False
2017-10-01,95,False
2017-10-08,83,False
2017-10-15,77,False
2017-10-22,76,False
2017-10-29,75,False
2017-11-05,84,False
2017-11-12,80,False
2017-11-19,80,False
2017-11-26,78,False
2017-12-03,79,False
2017-12-10,77,False
2017-12-17,79,True
