date,UR,isPartial
2016-12-25,93,False
2017-01-01,98,False
2017-01-08,96,False
2017-01-15,100,False
2017-01-22,96,False
2017-01-29,95,False
2017-02-05,93,False
2017-02-12,92,False
2017-02-19,90,False
2017-02-26,90,False
2017-03-05,88,False
2017-03-12,88,False
2017-03-19,89,False
2017-03-26,93,False
2017-04-02,90,False
2017-04-09,87,False
2017-04-16,87,False
2017-04-23,87,False
2017-04-30,87,False
2017-05-07,87,False
2017-05-14,89,False
2017-05-21,89,False
2017-05-28,89,False
2017-06-04,88,False
2017-06-11,89,False
2017-06-18,89,False
2017-06-25,92,False
2017-07-02,88,False
2017-07-09,88,False
2017-07-16,89,False
2017-07-23,90,False
2017-07-30,92,False
2017-08-06,89,False
2017-08-13,89,False
2017-08-20,89,False
2017-08-27,90,False
2017-09-03,93,False
2017-09-10,90,False
2017-09-17,91,False
2017-09-24,90,False
2017-10-01,91,False
2017-10-08,90,False
2017-10-15,89,False
2017-10-22,91,False
2017-10-29,88,False
2017-11-05,90,False
2017-11-12,89,False
2017-11-19,88,False
2017-11-26,88,False
2017-12-03,89,False
2017-12-10,90,False
2017-12-17,87,True
