date,StrikeBitClub,isPartial
2016-12-25,16,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,0,False
2017-01-22,0,False
2017-01-29,0,False
2017-02-05,0,False
2017-02-12,0,False
2017-02-19,14,False
2017-02-26,0,False
2017-03-05,0,False
2017-03-12,0,False
2017-03-19,0,False
2017-03-26,0,False
2017-04-02,14,False
2017-04-09,0,False
2017-04-16,0,False
2017-04-23,14,False
2017-04-30,0,False
2017-05-07,0,False
2017-05-14,15,False
2017-05-21,0,False
2017-05-28,15,False
2017-06-04,29,False
2017-06-11,15,False
2017-06-18,14,False
2017-06-25,31,False
2017-07-02,15,False
2017-07-09,46,False
2017-07-16,0,False
2017-07-23,45,False
2017-07-30,29,False
2017-08-06,29,False
2017-08-13,30,False
2017-08-20,29,False
2017-08-27,44,False
2017-09-03,29,False
2017-09-10,28,False
2017-09-17,100,False
2017-09-24,14,False
2017-10-01,0,False
2017-10-08,29,False
2017-10-15,28,False
2017-10-22,28,False
2017-10-29,0,False
2017-11-05,14,False
2017-11-12,27,False
2017-11-19,14,False
2017-11-26,0,False
2017-12-03,0,False
2017-12-10,69,False
2017-12-17,20,True
