date,Solaris,isPartial
2016-12-25,79,False
2017-01-01,88,False
2017-01-08,87,False
2017-01-15,89,False
2017-01-22,88,False
2017-01-29,90,False
2017-02-05,92,False
2017-02-12,89,False
2017-02-19,96,False
2017-02-26,96,False
2017-03-05,95,False
2017-03-12,95,False
2017-03-19,98,False
2017-03-26,86,False
2017-04-02,91,False
2017-04-09,82,False
2017-04-16,85,False
2017-04-23,88,False
2017-04-30,83,False
2017-05-07,93,False
2017-05-14,83,False
2017-05-21,84,False
2017-05-28,91,False
2017-06-04,84,False
2017-06-11,91,False
2017-06-18,90,False
2017-06-25,87,False
2017-07-02,93,False
2017-07-09,100,False
2017-07-16,94,False
2017-07-23,93,False
2017-07-30,95,False
2017-08-06,86,False
2017-08-13,88,False
2017-08-20,86,False
2017-08-27,79,False
2017-09-03,84,False
2017-09-10,85,False
2017-09-17,82,False
2017-09-24,80,False
2017-10-01,77,False
2017-10-08,80,False
2017-10-15,78,False
2017-10-22,80,False
2017-10-29,75,False
2017-11-05,80,False
2017-11-12,80,False
2017-11-19,73,False
2017-11-26,74,False
2017-12-03,70,False
2017-12-10,73,False
2017-12-17,79,True
