date,XYLO,isPartial
2016-12-25,89,False
2017-01-01,88,False
2017-01-08,86,False
2017-01-15,73,False
2017-01-22,73,False
2017-01-29,82,False
2017-02-05,74,False
2017-02-12,72,False
2017-02-19,81,False
2017-02-26,73,False
2017-03-05,70,False
2017-03-12,80,False
2017-03-19,86,False
2017-03-26,80,False
2017-04-02,80,False
2017-04-09,82,False
2017-04-16,85,False
2017-04-23,86,False
2017-04-30,76,False
2017-05-07,84,False
2017-05-14,78,False
2017-05-21,96,False
2017-05-28,91,False
2017-06-04,90,False
2017-06-11,93,False
2017-06-18,100,False
2017-06-25,90,False
2017-07-02,94,False
2017-07-09,92,False
2017-07-16,85,False
2017-07-23,91,False
2017-07-30,81,False
2017-08-06,84,False
2017-08-13,82,False
2017-08-20,83,False
2017-08-27,77,False
2017-09-03,79,False
2017-09-10,80,False
2017-09-17,80,False
2017-09-24,82,False
2017-10-01,85,False
2017-10-08,85,False
2017-10-15,79,False
2017-10-22,75,False
2017-10-29,74,False
2017-11-05,81,False
2017-11-12,77,False
2017-11-19,86,False
2017-11-26,80,False
2017-12-03,81,False
2017-12-10,92,False
2017-12-17,96,True
