date,Shorty,isPartial
2016-12-25,59,False
2017-01-01,61,False
2017-01-08,59,False
2017-01-15,83,False
2017-01-22,62,False
2017-01-29,68,False
2017-02-05,62,False
2017-02-12,65,False
2017-02-19,59,False
2017-02-26,62,False
2017-03-05,56,False
2017-03-12,62,False
2017-03-19,60,False
2017-03-26,64,False
2017-04-02,55,False
2017-04-09,61,False
2017-04-16,66,False
2017-04-23,83,False
2017-04-30,62,False
2017-05-07,65,False
2017-05-14,62,False
2017-05-21,63,False
2017-05-28,83,False
2017-06-04,67,False
2017-06-11,71,False
2017-06-18,69,False
2017-06-25,72,False
2017-07-02,75,False
2017-07-09,73,False
2017-07-16,71,False
2017-07-23,70,False
2017-07-30,86,False
2017-08-06,91,False
2017-08-13,100,False
2017-08-20,73,False
2017-08-27,69,False
2017-09-03,66,False
2017-09-10,69,False
2017-09-17,66,False
2017-09-24,70,False
2017-10-01,67,False
2017-10-08,68,False
2017-10-15,69,False
2017-10-22,60,False
2017-10-29,57,False
2017-11-05,58,False
2017-11-12,63,False
2017-11-19,62,False
2017-11-26,58,False
2017-12-03,58,False
2017-12-10,57,False
2017-12-17,55,True
