date,Aerium,isPartial
2016-12-25,7,False
2017-01-01,43,False
2017-01-08,63,False
2017-01-15,46,False
2017-01-22,23,False
2017-01-29,17,False
2017-02-05,28,False
2017-02-12,28,False
2017-02-19,68,False
2017-02-26,28,False
2017-03-05,100,False
2017-03-12,28,False
2017-03-19,17,False
2017-03-26,29,False
2017-04-02,40,False
2017-04-09,18,False
2017-04-16,52,False
2017-04-23,34,False
2017-04-30,29,False
2017-05-07,28,False
2017-05-14,42,False
2017-05-21,25,False
2017-05-28,49,False
2017-06-04,47,False
2017-06-11,31,False
2017-06-18,41,False
2017-06-25,50,False
2017-07-02,56,False
2017-07-09,79,False
2017-07-16,44,False
2017-07-23,12,False
2017-07-30,53,False
2017-08-06,64,False
2017-08-13,66,False
2017-08-20,30,False
2017-08-27,70,False
2017-09-03,52,False
2017-09-10,46,False
2017-09-17,47,False
2017-09-24,41,False
2017-10-01,86,False
2017-10-08,63,False
2017-10-15,62,False
2017-10-22,62,False
2017-10-29,57,False
2017-11-05,39,False
2017-11-12,83,False
2017-11-19,89,False
2017-11-26,33,False
2017-12-03,62,False
2017-12-10,39,False
2017-12-17,88,True
