date,CHFUSD,isPartial
2017-01-01,33,False
2017-01-08,55,False
2017-01-15,58,False
2017-01-22,52,False
2017-01-29,84,False
2017-02-05,60,False
2017-02-12,56,False
2017-02-19,84,False
2017-02-26,53,False
2017-03-05,33,False
2017-03-12,58,False
2017-03-19,57,False
2017-03-26,46,False
2017-04-02,78,False
2017-04-09,25,False
2017-04-16,29,False
2017-04-23,53,False
2017-04-30,38,False
2017-05-07,54,False
2017-05-14,63,False
2017-05-21,55,False
2017-05-28,32,False
2017-06-04,89,False
2017-06-11,52,False
2017-06-18,100,False
2017-06-25,62,False
2017-07-02,81,False
2017-07-09,59,False
2017-07-16,85,False
2017-07-23,51,False
2017-07-30,43,False
2017-08-06,51,False
2017-08-13,51,False
2017-08-20,44,False
2017-08-27,63,False
2017-09-03,75,False
2017-09-10,24,False
2017-09-17,79,False
2017-09-24,55,False
2017-10-01,67,False
2017-10-08,38,False
2017-10-15,61,False
2017-10-22,45,False
2017-10-29,60,False
2017-11-05,59,False
2017-11-12,58,False
2017-11-19,47,False
2017-11-26,52,False
2017-12-03,56,False
2017-12-10,65,False
2017-12-17,74,False
2017-12-24,72,True
