date,Psilocybin,isPartial
2016-12-25,41,False
2017-01-01,52,False
2017-01-08,56,False
2017-01-15,56,False
2017-01-22,54,False
2017-01-29,45,False
2017-02-05,57,False
2017-02-12,44,False
2017-02-19,56,False
2017-02-26,59,False
2017-03-05,69,False
2017-03-12,54,False
2017-03-19,60,False
2017-03-26,68,False
2017-04-02,49,False
2017-04-09,56,False
2017-04-16,65,False
2017-04-23,72,False
2017-04-30,72,False
2017-05-07,67,False
2017-05-14,55,False
2017-05-21,76,False
2017-05-28,62,False
2017-06-04,56,False
2017-06-11,53,False
2017-06-18,54,False
2017-06-25,48,False
2017-07-02,56,False
2017-07-09,62,False
2017-07-16,58,False
2017-07-23,53,False
2017-07-30,57,False
2017-08-06,43,False
2017-08-13,57,False
2017-08-20,49,False
2017-08-27,46,False
2017-09-03,46,False
2017-09-10,43,False
2017-09-17,54,False
2017-09-24,77,False
2017-10-01,73,False
2017-10-08,100,False
2017-10-15,83,False
2017-10-22,69,False
2017-10-29,67,False
2017-11-05,92,False
2017-11-12,76,False
2017-11-19,75,False
2017-11-26,76,False
2017-12-03,72,False
2017-12-10,59,False
2017-12-17,55,True
